"ticker","datetime","open","high","low","close","average","volume","barcount"
TSLA,2023-05-01 09:30:00.000,163.19,163.24,162.9,163.12,163.169,338998,658
TSLA,2023-05-01 09:30:10.000,163.13,163.14,162.9,162.99,163.009,61154,288
TSLA,2023-05-01 09:30:20.000,162.95,162.97,162.61,162.69,162.755,112815,355
TSLA,2023-05-01 09:30:30.000,162.61,162.68,162.42,162.46,162.528,109642,312
TSLA,2023-05-01 09:30:40.000,162.47,162.55,162.35,162.36,162.462,85444,303
TSLA,2023-05-01 09:30:50.000,162.36,162.36,162.18,162.2,162.242,95090,356
TSLA,2023-05-01 09:31:00.000,162.2,162.3,161.78,161.79,162.048,185741,559
TSLA,2023-05-01 09:31:10.000,161.81,162.0,161.76,161.99,161.854,75739,290
TSLA,2023-05-01 09:31:20.000,161.97,162.0,161.6,161.61,161.791,119409,346
TSLA,2023-05-01 09:31:30.000,161.62,161.95,161.6,161.89,161.735,122121,309
TSLA,2023-05-01 09:31:40.000,161.91,161.97,161.74,161.76,161.873,80137,272
TSLA,2023-05-01 09:31:50.000,161.77,161.81,161.6,161.66,161.682,75222,287
TSLA,2023-05-01 09:32:00.000,161.65,161.7,161.56,161.65,161.638,95986,369
TSLA,2023-05-01 09:32:10.000,161.65,161.72,161.37,161.38,161.554,135116,443
TSLA,2023-05-01 09:32:20.000,161.39,161.44,161.25,161.32,161.327,91121,316
TSLA,2023-05-01 09:32:30.000,161.3,161.48,161.28,161.31,161.358,79288,274
TSLA,2023-05-01 09:32:40.000,161.3,161.32,161.06,161.14,161.2,90881,302
TSLA,2023-05-01 09:32:50.000,161.08,161.19,161.03,161.03,161.106,80492,315
TSLA,2023-05-01 09:33:00.000,161.04,161.65,160.94,161.46,161.299,249044,720
TSLA,2023-05-01 09:33:10.000,161.46,161.7,161.41,161.63,161.59,115101,314
TSLA,2023-05-01 09:33:20.000,161.62,161.66,161.51,161.6,161.594,71915,199
TSLA,2023-05-01 09:33:30.000,161.54,161.54,161.25,161.4,161.376,70648,201
TSLA,2023-05-01 09:33:40.000,161.4,161.42,161.13,161.19,161.236,60099,187
TSLA,2023-05-01 09:33:50.000,161.2,161.23,161.02,161.13,161.119,68454,250
TSLA,2023-05-01 09:34:00.000,161.11,161.18,161.03,161.16,161.096,83175,219
TSLA,2023-05-01 09:34:10.000,161.17,161.31,161.12,161.18,161.2,107409,331
TSLA,2023-05-01 09:34:20.000,161.16,161.29,161.15,161.23,161.222,46118,153
TSLA,2023-05-01 09:34:30.000,161.22,161.24,160.97,161.23,161.096,122289,380
TSLA,2023-05-01 09:34:40.000,161.21,161.5,161.18,161.35,161.358,127137,385
TSLA,2023-05-01 09:34:50.000,161.36,161.48,161.3,161.4,161.359,45588,184
TSLA,2023-05-01 09:35:00.000,161.4,161.4,161.17,161.25,161.268,62797,202
TSLA,2023-05-01 09:35:10.000,161.26,161.33,161.08,161.27,161.221,80659,249
TSLA,2023-05-01 09:35:20.000,161.25,161.3,161.06,161.2,161.188,49996,183
TSLA,2023-05-01 09:35:30.000,161.21,161.25,161.04,161.07,161.11,65376,250
TSLA,2023-05-01 09:35:40.000,161.05,161.08,160.71,160.86,160.868,187204,562
TSLA,2023-05-01 09:35:50.000,160.88,160.88,160.69,160.69,160.738,83754,314
TSLA,2023-05-01 09:36:00.000,160.72,160.75,160.6,160.64,160.683,135151,422
TSLA,2023-05-01 09:36:10.000,160.71,160.72,160.49,160.5,160.573,117381,340
TSLA,2023-05-01 09:36:20.000,160.5,160.55,160.33,160.35,160.44,91434,327
TSLA,2023-05-01 09:36:30.000,160.35,160.47,160.27,160.36,160.382,111151,383
TSLA,2023-05-01 09:36:40.000,160.36,160.88,160.34,160.75,160.569,178449,491
TSLA,2023-05-01 09:36:50.000,160.73,160.82,160.65,160.71,160.705,123819,360
TSLA,2023-05-01 09:37:00.000,160.73,160.98,160.72,160.9,160.882,120061,314
TSLA,2023-05-01 09:37:10.000,160.9,161.2,160.84,161.15,161.038,112801,350
TSLA,2023-05-01 09:37:20.000,161.16,161.19,161.0,161.08,161.092,90379,290
TSLA,2023-05-01 09:37:30.000,161.05,161.14,161.0,161.08,161.047,55251,187
TSLA,2023-05-01 09:37:40.000,161.11,161.13,160.89,160.94,161.019,77892,257
TSLA,2023-05-01 09:37:50.000,160.89,161.02,160.88,160.99,160.955,66897,187
TSLA,2023-05-01 09:38:00.000,161.0,161.76,161.0,161.71,161.5,178529,606
TSLA,2023-05-01 09:38:10.000,161.7,161.85,161.66,161.68,161.722,185187,510
TSLA,2023-05-01 09:38:20.000,161.66,161.74,161.54,161.61,161.653,141642,338
TSLA,2023-05-01 09:38:30.000,161.61,161.7,161.53,161.66,161.629,93691,293
TSLA,2023-05-01 09:38:40.000,161.66,161.8,161.6,161.71,161.714,55903,212
TSLA,2023-05-01 09:38:50.000,161.75,162.06,161.71,161.86,161.902,179468,476
TSLA,2023-05-01 09:39:00.000,161.89,162.14,161.86,162.01,162.044,160514,452
TSLA,2023-05-01 09:39:10.000,162.01,162.17,161.93,162.03,162.038,140410,313
TSLA,2023-05-01 09:39:20.000,162.03,162.08,161.89,161.92,161.953,94636,297
TSLA,2023-05-01 09:39:30.000,161.93,162.01,161.81,161.86,161.937,72912,240
TSLA,2023-05-01 09:39:40.000,161.87,161.91,161.78,161.82,161.855,62894,217
TSLA,2023-05-01 09:39:50.000,161.82,161.91,161.78,161.9,161.843,77336,231
TSLA,2023-05-01 09:40:00.000,161.9,161.9,161.61,161.65,161.737,103141,343
TSLA,2023-05-01 09:40:10.000,161.65,161.73,161.58,161.68,161.645,77153,223
TSLA,2023-05-01 09:40:20.000,161.69,161.9,161.69,161.86,161.749,63264,234
TSLA,2023-05-01 09:40:30.000,161.85,161.9,161.71,161.74,161.788,50420,152
TSLA,2023-05-01 09:40:40.000,161.75,161.78,161.54,161.57,161.652,56260,188
TSLA,2023-05-01 09:40:50.000,161.57,161.6,161.35,161.38,161.466,114385,387
TSLA,2023-05-01 09:41:00.000,161.4,161.46,161.32,161.32,161.427,70442,248
TSLA,2023-05-01 09:41:10.000,161.33,161.66,161.3,161.64,161.44,127702,409
TSLA,2023-05-01 09:41:20.000,161.64,161.86,161.63,161.74,161.743,116091,342
TSLA,2023-05-01 09:41:30.000,161.75,161.87,161.74,161.82,161.798,54521,195
TSLA,2023-05-01 09:41:40.000,161.83,161.84,161.63,161.66,161.749,54961,201
TSLA,2023-05-01 09:41:50.000,161.65,161.65,161.3,161.41,161.436,82558,319
TSLA,2023-05-01 09:42:00.000,161.4,161.43,161.22,161.35,161.342,111298,382
TSLA,2023-05-01 09:42:10.000,161.34,161.38,161.28,161.31,161.341,59948,208
TSLA,2023-05-01 09:42:20.000,161.27,161.6,161.25,161.51,161.409,97682,307
TSLA,2023-05-01 09:42:30.000,161.51,161.63,161.45,161.57,161.532,48258,161
TSLA,2023-05-01 09:42:40.000,161.58,161.59,161.38,161.38,161.453,47345,183
TSLA,2023-05-01 09:42:50.000,161.4,161.49,161.27,161.29,161.399,50859,220
TSLA,2023-05-01 09:43:00.000,161.28,161.45,161.26,161.44,161.339,42877,165
TSLA,2023-05-01 09:43:10.000,161.42,161.42,161.25,161.31,161.302,41380,160
TSLA,2023-05-01 09:43:20.000,161.28,161.48,161.28,161.46,161.393,70765,226
TSLA,2023-05-01 09:43:30.000,161.46,161.62,161.45,161.45,161.523,48381,176
TSLA,2023-05-01 09:43:40.000,161.46,161.46,161.23,161.3,161.313,54020,173
TSLA,2023-05-01 09:43:50.000,161.3,161.3,161.06,161.11,161.148,84393,295
TSLA,2023-05-01 09:44:00.000,161.13,161.33,161.11,161.17,161.214,59037,167
TSLA,2023-05-01 09:44:10.000,161.17,161.23,161.02,161.12,161.098,59235,203
TSLA,2023-05-01 09:44:20.000,161.12,161.12,160.94,160.96,161.009,90047,277
TSLA,2023-05-01 09:44:30.000,160.96,161.0,160.92,160.95,160.954,80080,254
TSLA,2023-05-01 09:44:40.000,160.96,161.05,160.88,161.0,160.961,68240,282
TSLA,2023-05-01 09:44:50.000,161.0,161.07,160.91,160.91,160.984,53406,190
TSLA,2023-05-01 09:45:00.000,160.93,161.28,160.8,161.19,161.102,91123,317
TSLA,2023-05-01 09:45:10.000,161.26,161.6,161.08,161.32,161.384,110803,389
TSLA,2023-05-01 09:45:20.000,161.31,161.5,161.3,161.4,161.414,61751,195
TSLA,2023-05-01 09:45:30.000,161.42,161.42,161.29,161.37,161.343,42278,117
TSLA,2023-05-01 09:45:40.000,161.38,161.57,161.2,161.42,161.4,87077,227
TSLA,2023-05-01 09:45:50.000,161.41,161.57,161.4,161.47,161.479,60644,123
TSLA,2023-05-01 09:46:00.000,161.49,161.5,161.34,161.35,161.445,67205,193
TSLA,2023-05-01 09:46:10.000,161.36,161.41,161.2,161.29,161.31,53742,182
TSLA,2023-05-01 09:46:20.000,161.28,161.44,161.18,161.2,161.29,31364,136
TSLA,2023-05-01 09:46:30.000,161.23,161.24,161.14,161.16,161.191,43483,150
TSLA,2023-05-01 09:46:40.000,161.17,161.37,161.11,161.23,161.264,20619,96
TSLA,2023-05-01 09:46:50.000,161.23,161.44,161.22,161.37,161.349,34807,146
TSLA,2023-05-01 09:47:00.000,161.39,161.72,161.35,161.58,161.534,152136,384
TSLA,2023-05-01 09:47:10.000,161.6,161.74,161.55,161.65,161.664,72553,265
TSLA,2023-05-01 09:47:20.000,161.66,161.72,161.58,161.6,161.648,53000,181
TSLA,2023-05-01 09:47:30.000,161.6,161.67,161.53,161.58,161.579,44410,135
TSLA,2023-05-01 09:47:40.000,161.58,161.64,161.5,161.6,161.562,35184,138
TSLA,2023-05-01 09:47:50.000,161.58,161.85,161.55,161.75,161.734,88101,366
TSLA,2023-05-01 09:48:00.000,161.78,162.19,161.77,162.18,162.056,212675,676
TSLA,2023-05-01 09:48:10.000,162.19,162.19,161.9,161.9,162.066,100435,294
TSLA,2023-05-01 09:48:20.000,161.88,162.09,161.84,162.04,161.963,59402,184
TSLA,2023-05-01 09:48:30.000,162.04,162.14,162.01,162.11,162.09,52354,187
TSLA,2023-05-01 09:48:40.000,162.11,162.13,162.0,162.0,162.067,49013,149
TSLA,2023-05-01 09:48:50.000,162.02,162.05,161.91,161.97,161.985,47281,171
TSLA,2023-05-01 09:49:00.000,161.95,161.98,161.75,161.75,161.899,59555,179
TSLA,2023-05-01 09:49:10.000,161.77,161.97,161.75,161.84,161.876,75218,206
TSLA,2023-05-01 09:49:20.000,161.85,162.03,161.85,162.0,161.983,65830,174
TSLA,2023-05-01 09:49:30.000,162.03,162.08,162.0,162.06,162.039,41023,134
TSLA,2023-05-01 09:49:40.000,162.06,162.25,162.06,162.16,162.167,117371,347
TSLA,2023-05-01 09:49:50.000,162.18,162.28,162.13,162.16,162.235,90363,278
TSLA,2023-05-01 09:50:00.000,162.14,162.19,162.0,162.08,162.083,83193,244
TSLA,2023-05-01 09:50:10.000,162.08,162.2,162.06,162.2,162.116,46195,123
TSLA,2023-05-01 09:50:20.000,162.23,162.27,162.19,162.22,162.232,88744,255
TSLA,2023-05-01 09:50:30.000,162.22,162.26,162.17,162.25,162.214,46767,102
TSLA,2023-05-01 09:50:40.000,162.24,162.3,162.17,162.25,162.237,68796,215
TSLA,2023-05-01 09:50:50.000,162.28,162.29,162.22,162.25,162.252,42062,164
TSLA,2023-05-01 09:51:00.000,162.24,162.29,162.06,162.16,162.17,84197,270
TSLA,2023-05-01 09:51:10.000,162.19,162.2,162.03,162.03,162.136,39726,101
TSLA,2023-05-01 09:51:20.000,162.06,162.06,161.83,161.88,161.931,143913,327
TSLA,2023-05-01 09:51:30.000,161.88,162.21,161.88,162.2,162.099,77921,207
